Plataforma;show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
Max;s39;Movie;Birth of the Dragon;George Nolfi;Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia;China, Canada, United States;September 16, 2021;2017;PG-13;96 min;Action & Adventure, Dramas;A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.
Max;s40;TV Show;Chhota Bheem;N�o especificado;Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil;N�o especificado;September 16, 2021;2021;TV-Y7;3 Seasons;Kids' TV;A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.
Netflix;s41;TV Show;He-Man and the Masters of the Universe;N�o especificado;Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore;United States;September 16, 2021;2021;TV-Y7;1 Season;Kids' TV, TV Sci-Fi & Fantasy;Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull â€” and their destiny to defend Eternia from sinister Skeletor.
Prime Video;s42;Movie;Jaws;Steven Spielberg;Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman;United States;September 16, 2021;1975;PG;124 min;Action & Adventure, Classic Movies, Dramas;When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.
Netflix;s43;Movie;Jaws 2;Jeannot Szwarc;Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French;United States;September 16, 2021;1978;PG;116 min;Dramas, Horror Movies, Thrillers;Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.
Max;s44;Movie;Jaws 3;Joe Alves;Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer;United States;September 16, 2021;1983;PG;98 min;Action & Adventure, Horror Movies, Thrillers;After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.
Prime Video;s45;Movie;Jaws: The Revenge;Joseph Sargent;Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield;United States;September 16, 2021;1987;PG-13;91 min;Action & Adventure, Horror Movies, Thrillers;After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean â€“ but a great white shark follows her there.
Prime Video;s46;Movie;My Heroes Were Cowboys;Tyler Greco;N�o especificado;N�o especificado;September 16, 2021;2021;PG;23 min;Documentaries;Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.
Netflix;s47;Movie;Safe House;Daniel Espinosa;Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, RubÃ©n Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman;South Africa, United States, Japan;September 16, 2021;2012;R;115 min;Action & Adventure;Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
Prime Video;s48;TV Show;The Smart Money Woman;Bunmi Ajakaiye;Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson;N�o especificado;September 16, 2021;2020;TV-MA;1 Season;International TV Shows, Romantic TV Shows, TV Comedies;Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.
Disney;s49;Movie;Training Day;Antoine Fuqua;Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes;United States;September 16, 2021;2001;R;122 min;Dramas, Thrillers;A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
Prime Video;s50;TV Show;Castle and Castle;N�o especificado;Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi;Nigeria;September 15, 2021;2021;TV-MA;2 Seasons;International TV Shows, TV Dramas;A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.
